Timestamp,This is the design B,"on the scale of 1-5, how are you motivated to make purchase based on this App layout (5 = very likely to purchase, 1 = very unlikely to purchase)"," How easy was it to find the banana you were looking for? (5 = very easy, 1 = very difficult)",On a scale of 1-5 How clear did you find the labels and icons in the app layout? (5 = very clear, 1 = very confusing),"On a scale of 1-5, How appealing or unappealing do you find the app layout?
 (5 = very appealing, 1 = very unappealing)"
1/24/2024 18:26:19,,3,4,4,3,14
1/24/2024 18:26:55,,3,4,4,4,15
1/24/2024 18:27:30,,1,4,1,1,7
1/24/2024 18:27:39,,4,5,3,4,16
1/24/2024 18:27:40,,4,4,4,3,15
1/24/2024 18:28:15,,2,4,4,4,14
1/24/2024 18:28:15,,4,1,4,5,14
1/24/2024 18:29:16,,3,3,2,2,10
1/24/2024 18:29:20,,3,4,4,4,15
1/24/2024 18:29:42,,3,4,3,5,15
1/24/2024 18:29:56,,1,1,1,1,4
1/24/2024 18:30:20,,2,3,1,2,8
1/24/2024 18:31:06,,4,4,4,4,16
1/24/2024 18:31:23,,4,5,5,5,19
1/24/2024 18:32:34,,4,4,4,5,17
1/24/2024 18:34:28,,5,5,5,5,20
1/24/2024 18:35:00,,5,5,5,5,20
1/24/2024 18:35:19,YES it is ,5,5,3,5,18
1/24/2024 18:35:37,,4,4,4,4,16
1/24/2024 18:35:57,,4,4,4,4,16
1/24/2024 18:39:08,,5,4,5,5,19
1/24/2024 18:39:42,,5,5,5,5,20
